"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Caffeine|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Fluvoxamine|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Caffeine|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Fluvoxamine|Concentration in container [µmol/l]","Organism|Lumen|Caffeine|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Fluvoxamine|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0
0,3,0.04635077,0,0.4287333,0,0.01483715,0
0,6,0.4773925,0,1.817515,0,0.04716921,0
0,9,1.367493,0,3.656961,0,0.09548685,0
0,12,2.641956,0,5.798301,0,0.1577733,0
0,15,4.193003,0,8.020855,0,0.2302342,0
0,18,5.878272,0,10.11372,0,0.3085588,0
0,21,7.553466,0,11.92277,0,0.38865,0
0,24,9.097156,0,13.35648,0,0.4669922,0
0,27,10.42245,0,14.3801,0,0.540859,0
0,30,11.47989,1.983255E-28,15.00515,1.594569E-24,0.6083757,1.120996E-17
0,33,12.2544,5.125457E-06,15.277,3.441988E-05,0.6684777,0.00804705
0,36,12.75946,5.85206E-05,15.26605,0.0002773989,0.7207911,0.03106259
0,39,13.03177,0.000215703,15.05888,0.0008965838,0.7654724,0.06747653
0,42,13.12278,0.0005260918,14.73938,0.002026966,0.8030409,0.1148281
0,45,13.08735,0.001033446,14.37349,0.003774264,0.8342281,0.1701493
0,48,12.97364,0.001770412,14.0026,0.006195019,0.8598571,0.2292809
0,51,12.81757,0.002752073,13.64746,0.009286176,0.8807555,0.2896251
0,54,12.64284,0.003981659,13.31714,0.01301369,0.8977005,0.3495479
0,57,12.46413,0.00545246,13.01586,0.0173161,0.911388,0.4074923
0,60,12.29049,0.007150255,12.7456,0.02211755,0.9224204,0.4628103
0,63,12.12743,0.009056736,12.50686,0.02733705,0.9313062,0.5151107
0,66,11.97823,0.01115157,12.29891,0.03289513,0.9384675,0.5643787
0,69,11.84454,0.01341403,12.12004,0.03871684,0.9442499,0.6103593
0,72,11.72679,0.01582096,11.96777,0.04472013,0.9489318,0.6519261
0,75,11.62455,0.01834652,11.83921,0.05082294,0.9527372,0.6893943
0,78,11.53682,0.02096687,11.73136,0.05695544,0.9558451,0.7231256
0,81,11.46225,0.02365961,11.64128,0.06305456,0.9583977,0.7528824
0,84,11.39932,0.02640216,11.56625,0.06905958,0.9605083,0.7789107
0,87,11.34652,0.02917428,11.5038,0.07492158,0.9622664,0.8016511
0,90,11.30235,0.03195824,11.45178,0.0806016,0.9637432,0.8215227
0,93,11.26548,0.03473886,11.40836,0.08606992,0.9649949,0.8388884
0,96,11.2347,0.03750327,11.37197,0.0913047,0.9660662,0.8540801
0,99,11.20896,0.04024058,11.34131,0.09629018,0.9669926,0.867263
0,102,11.18738,0.0429411,11.31532,0.1010137,0.9678022,0.8785629
0,105,11.16919,0.0455965,11.29311,0.1054672,0.9685177,0.8882524
0,108,11.15378,0.04819999,11.27395,0.1096473,0.9691569,0.8965515
0,111,11.14062,0.05074617,11.25727,0.1135542,0.9697342,0.9036617
