"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
0.2628768,0.0009930475,0.001708056
0.7354667,0.007216034,0.008972128
1.873281,0.01630421,0.01404663
2.90065,0.02474035,0.0205043
3.928019,0.03036855,0.0226197
5.880021,0.0258121,0.01743655
7.934759,0.02599519,0.01846761
9.989497,0.02240947,0.0163072
11.9415,0.02029818,0.01442031
23.96172,0.01395624,0.008683939
30.0232,0.01291228,0.009837426
35.98194,0.009004375,0.005602758
48.00216,0.005607777,0.003388271
60.02238,0.003695597,0.002815549
71.93986,0.002470118,0.00208778
95.9803,0.001143225,0.001282721
