"Time [h]","CentralMeasure [mg/l]","SD [mg/l]"
0.4076087,0.000746107,0.0009131428
1.086957,0.001435387,0.001469257
1.766304,0.006837732,0.00468971
2.853261,0.01132732,0.003509745
3.804348,0.01391352,0.003425963
5.842391,0.01430921,0.004141761
7.880435,0.01352877,0.003877924
9.918478,0.01175886,0.003453086
11.95652,0.01041337,0.003043348
23.77717,0.0051176,0.001697964
29.8913,0.00355422,0.001574021
36.00544,0.002586544,0.001229223
47.96196,0.001179556,0.0009466407
60.05435,0.0006424634,0.0007708773
72.01087,0.000353214,0.0007046589
