"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Caffeine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.04635077
0,6,0.47739246
0,9,1.3674926
0,12,2.6419563
0,15,4.193003
0,18,5.878272
0,21,7.553466
0,24,9.097156
0,27,10.422448
0,30,11.479894
0,33,12.254396
0,36,12.759457
0,39,13.031772
0,42,13.122783
0,45,13.087352
0,48,12.97364
0,51,12.817576
0,54,12.642843
0,57,12.46414
0,60,12.290497
0,63,12.127452
0,66,11.978261
0,69,11.84456
0,72,11.726795
0,75,11.624549
0,78,11.536815
0,81,11.462241
0,84,11.399318
0,87,11.346509
0,90,11.302344
0,93,11.265471
0,96,11.234691
0,99,11.208955
0,102,11.187371
0,105,11.169188
0,108,11.153773
0,111,11.140609
0,114,11.129268
0,117,11.119402
0,120,11.110725
0,123,11.103007
0,126,11.096061
0,129,11.089733
0,132,11.083901
0,135,11.0784645
0,138,11.073341
0,141,11.068463
0,144,11.063778
0,147,11.0592375
0,150,11.054805
0,153,11.05045
0,156,11.046146
0,159,11.041872
0,162,11.037609
0,165,11.03334
0,168,11.029054
0,171,11.024736
0,174,11.020379
0,177,11.015972
0,180,11.011509
0,183,11.006983
0,186,11.002387
0,189,10.997717
0,192,10.992967
0,195,10.988133
0,198,10.983212
0,201,10.978201
0,204,10.973096
0,207,10.967894
0,210,10.962591
0,213,10.957188
0,216,10.951681
0,219,10.946068
0,222,10.940348
0,225,10.934518
0,228,10.928577
0,231,10.922526
0,234,10.916361
0,237,10.910083
0,240,10.903688
0,243,10.89718
0,246,10.890553
0,249,10.88381
0,252,10.876949
0,255,10.86997
0,258,10.862872
0,261,10.855656
0,264,10.84832
0,267,10.840865
0,270,10.83329
0,273,10.825597
0,276,10.817783
0,279,10.809851
0,282,10.801798
0,285,10.793627
0,288,10.7853365
0,291,10.776928
0,294,10.7684
0,297,10.759755
0,300,10.750992
0,303,10.742111
0,306,10.733114
0,309,10.724002
0,312,10.714773
0,315,10.705429
0,318,10.695971
0,321,10.6863985
0,324,10.676713
0,327,10.666916
0,330,10.657006
0,333,10.646986
0,336,10.636855
0,339,10.626616
0,342,10.616267
0,345,10.605812
0,348,10.595249
0,351,10.584581
0,354,10.573808
0,357,10.562931
0,360,10.55195
0,363,10.540868
0,366,10.529685
0,369,10.518401
0,372,10.507019
0,375,10.495539
0,378,10.483961
0,381,10.472287
0,384,10.460519
0,387,10.448657
0,390,10.436702
0,393,10.424655
0,396,10.412518
0,399,10.4002905
0,402,10.387976
0,405,10.375573
0,408,10.363084
0,411,10.35051
0,414,10.337852
0,417,10.325111
0,420,10.312288
0,423,10.299385
0,426,10.286402
0,429,10.27334
0,432,10.2602005
0,435,10.246985
0,438,10.233695
0,441,10.22033
0,444,10.206892
0,447,10.193383
0,450,10.179802
0,453,10.166152
0,456,10.152433
0,459,10.138647
0,462,10.124794
0,465,10.110875
0,468,10.096892
0,471,10.082846
0,474,10.068737
0,477,10.054567
0,480,10.040338
0,483,10.026048
0,486,10.0117
0,489,9.997295
0,492,9.982833
0,495,9.968315
0,498,9.953741
0,501,9.939112
0,504,9.924429
0,507,9.909695
0,510,9.894908
0,513,9.880073
0,516,9.865216
0,519,9.850487
0,522,9.836176
0,525,9.822651
0,528,9.810245
0,531,9.79918
0,534,9.789526
0,537,9.781218
0,540,9.774098
0,543,9.767965
0,546,9.762607
0,549,9.757827
0,552,9.753463
0,555,9.74938
0,558,9.745477
0,561,9.741675
0,564,9.73792
0,567,9.734173
0,570,9.730409
0,573,9.726611
0,576,9.722773
0,579,9.71889
0,582,9.71496
0,585,9.710985
0,588,9.706966
0,591,9.702905
0,594,9.698801
0,597,9.694658
0,600,9.690477
0,603,9.686259
0,606,9.682005
0,609,9.677714
0,612,9.673389
0,615,9.669028
0,618,9.664633
0,621,9.660202
0,624,9.655736
0,627,9.651233
0,630,9.646694
0,633,9.642119
0,636,9.6375065
0,639,9.632855
0,642,9.628167
0,645,9.623439
0,648,9.618671
0,651,9.613865
0,654,9.609016
0,657,9.604128
0,660,9.599197
0,663,9.594225
0,666,9.5892105
0,669,9.584153
0,672,9.579052
0,675,9.573908
0,678,9.56872
0,681,9.563487
0,684,9.558209
0,687,9.552888
0,690,9.547521
0,693,9.542109
0,696,9.536652
0,699,9.531148
0,702,9.5255995
0,705,9.520005
0,708,9.514364
0,711,9.508678
0,714,9.502946
0,717,9.497168
0,720,9.4913435
0,723,9.485474
0,726,9.479558
0,729,9.473597
0,732,9.467589
0,735,9.461536
0,738,9.455438
0,741,9.449294
0,744,9.443106
0,747,9.4368725
0,750,9.430594
0,753,9.424272
0,756,9.417904
0,759,9.411492
0,762,9.405038
0,765,9.398539
0,768,9.391996
0,771,9.385411
0,774,9.378783
0,777,9.372113
0,780,9.365401
0,783,9.358646
0,786,9.351851
0,789,9.345015
0,792,9.338137
0,795,9.331219
0,798,9.324261
0,801,9.317264
0,804,9.310226
0,807,9.30315
0,810,9.296036
0,813,9.288883
0,816,9.281693
0,819,9.274466
0,822,9.267201
0,825,9.2599
0,828,9.252563
0,831,9.245191
0,834,9.2377825
0,837,9.230339
0,840,9.222862
0,843,9.215351
0,846,9.207806
0,849,9.200228
0,852,9.192617
0,855,9.184974
0,858,9.1772995
0,861,9.169593
0,864,9.161856
0,867,9.154087
0,870,9.146289
0,873,9.138461
0,876,9.130604
0,879,9.122718
0,882,9.114803
0,885,9.10686
0,888,9.098889
0,891,9.090892
0,894,9.082868
0,897,9.074817
0,900,9.066739
0,903,9.058637
0,906,9.0505085
0,909,9.042356
0,912,9.034179
0,915,9.025977
0,918,9.017752
0,921,9.009503
0,924,9.001232
0,927,8.992939
0,930,8.984623
0,933,8.976285
0,936,8.967925
0,939,8.959545
0,942,8.951144
0,945,8.942722
0,948,8.93428
0,951,8.925819
0,954,8.917339
0,957,8.908839
0,960,8.900321
0,963,8.891785
0,966,8.88323
0,969,8.874658
0,972,8.866068
0,975,8.857461
0,978,8.848837
0,981,8.840198
0,984,8.831541
0,987,8.822868
0,990,8.814181
0,993,8.805478
0,996,8.796761
0,999,8.788028
0,1002,8.779281
0,1005,8.770519
0,1008,8.761744
0,1011,8.7529545
0,1014,8.744153
0,1017,8.735337
0,1020,8.726509
0,1023,8.717669
0,1026,8.708815
0,1029,8.699949
0,1032,8.691072
0,1035,8.682183
0,1038,8.673284
0,1041,8.6643715
0,1044,8.655449
0,1047,8.646516
0,1050,8.637572
0,1053,8.628618
0,1056,8.619655
0,1059,8.610681
0,1062,8.601697
0,1065,8.592704
0,1068,8.583701
0,1071,8.574689
0,1074,8.565669
0,1077,8.55664
0,1080,8.547602
0,1083,8.538556
0,1086,8.529502
0,1089,8.520439
0,1092,8.51137
0,1095,8.502292
0,1098,8.493207
0,1101,8.484115
0,1104,8.475015
0,1107,8.465908
0,1110,8.456795
0,1113,8.447675
0,1116,8.438548
0,1119,8.429416
0,1122,8.420277
0,1125,8.411131
0,1128,8.40198
0,1131,8.392823
0,1134,8.38366
0,1137,8.374493
0,1140,8.365319
0,1143,8.35614
0,1146,8.346956
0,1149,8.337768
0,1152,8.328574
0,1155,8.319376
0,1158,8.310173
0,1161,8.300965
0,1164,8.291753
0,1167,8.282537
0,1170,8.273316
0,1173,8.264092
0,1176,8.254864
0,1179,8.245632
0,1182,8.236396
0,1185,8.227157
0,1188,8.217914
0,1191,8.208667
0,1194,8.199417
0,1197,8.190165
0,1200,8.180908
0,1203,8.171649
0,1206,8.162387
0,1209,8.153122
0,1212,8.143854
0,1215,8.134583
0,1218,8.125311
