"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Caffeine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0
0,6,0
0,9,0
0,12,0
0,15,0
0,18,0
0,21,0
0,24,0
0,27,0
0,30,0
0,33,0
0,36,0
0,39,0
0,42,0
0,45,0
0,48,0
0,51,0
0,54,0
0,57,0
0,60,0
0,63,0
0,66,0
0,69,0
0,72,0
0,75,0
0,78,0
0,81,0
0,84,0
0,87,0
0,90,0
0,93,0
0,96,0
0,99,0
0,102,0
0,105,0
0,108,0
0,111,0
0,114,0
0,117,0
0,120,0
0,123,0
0,126,0
0,129,0
0,132,0
0,135,0
0,138,0
0,141,0
0,144,0
0,147,0
0,150,0
0,153,0
0,156,0
0,159,0
0,162,0
0,165,0
0,168,0
0,171,0
0,174,0
0,177,0
0,180,0
0,183,0
0,186,0
0,189,0
0,192,0
0,195,0
0,198,0
0,201,0
0,204,0
0,207,0
0,210,0
0,213,0
0,216,0
0,219,0
0,222,0
0,225,0
0,228,0
0,231,0
0,234,0
0,237,0
0,240,0
0,243,0
0,246,0
0,249,0
0,252,0
0,255,0
0,258,0
0,261,0
0,264,0
0,267,0
0,270,0
0,273,0
0,276,0
0,279,0
0,282,0
0,285,0
0,288,0
0,291,0
0,294,0
0,297,0
0,300,0
0,303,0
0,306,0
0,309,0
0,312,0
0,315,0
0,318,0
0,321,0
0,324,0
0,327,0
0,330,0
0,333,0
0,336,0
0,339,0
0,342,0
0,345,0
0,348,0
0,351,0
0,354,0
0,357,0
0,360,0
0,363,0
0,366,0
0,369,0
0,372,0
0,375,0
0,378,0
0,381,0
0,384,0
0,387,0
0,390,0
0,393,0
0,396,0
0,399,0
0,402,0
0,405,0
0,408,0
0,411,0
0,414,0
0,417,0
0,420,0
0,423,0
0,426,0
0,429,0
0,432,0
0,435,0
0,438,0
0,441,0
0,444,0
0,447,0
0,450,0
0,453,0
0,456,0
0,459,0
0,462,0
0,465,0
0,468,0
0,471,0
0,474,0
0,477,0
0,480,0
0,483,0
0,486,0
0,489,0
0,492,0
0,495,0
0,498,0
0,501,0
0,504,0
0,507,0
0,510,0
0,513,0
0,516,0
0,519,0
0,522,0
0,525,0
0,528,0
0,531,0
0,534,0
0,537,0
0,540,0
0,543,0
0,546,0
0,549,0
0,552,0
0,555,0
0,558,0
0,561,0
0,564,0
0,567,0
0,570,0
0,573,0
0,576,0
0,579,0
0,582,0
0,585,0
0,588,0
0,591,0
0,594,0
0,597,0
0,600,0
0,603,0
0,606,0
0,609,0
0,612,0
0,615,0
0,618,0
0,621,0
0,624,0
0,627,0
0,630,0
0,633,0
0,636,0
0,639,0
0,642,0
0,645,0
0,648,0
0,651,0
0,654,0
0,657,0
0,660,0
0,663,0
0,666,0
0,669,0
0,672,0
0,675,0
0,678,0
0,681,0
0,684,0
0,687,0
0,690,0
0,693,0
0,696,0
0,699,0
0,702,0
0,705,0
0,708,0
0,711,0
0,714,0
0,717,0
0,720,0
0,723,0
0,726,0
0,729,0
0,732,0
0,735,0
0,738,0
0,741,0
0,744,0
0,747,0
0,750,0
0,753,0
0,756,0
0,759,0
0,762,0
0,765,0
0,768,0
0,771,0
0,774,0
0,777,0
0,780,0
0,783,0
0,786,0
0,789,0
0,792,0
0,795,0
0,798,0
0,801,0
0,804,0
0,807,0
0,810,0
0,813,0
0,816,0
0,819,0
0,822,0
0,825,0
0,828,0
0,831,0
0,834,0
0,837,0
0,840,0
0,843,0
0,846,0
0,849,0
0,852,0
0,855,0
0,858,0
0,861,0
0,864,0
0,867,0
0,870,0
0,873,0
0,876,0
0,879,0
0,882,0
0,885,0
0,888,0
0,891,0
0,894,0
0,897,0
0,900,0
0,903,0
0,906,0
0,909,0
0,912,0
0,915,0
0,918,0
0,921,0
0,924,0
0,927,0
0,930,0
0,933,0
0,936,0
0,939,0
0,942,0
0,945,0
0,948,0
0,951,0
0,954,0
0,957,0
0,960,0
0,963,0
0,966,0
0,969,0
0,972,0
0,975,0
0,978,0
0,981,0
0,984,0
0,987,0
0,990,0
0,993,0
0,996,0
0,999,0
0,1002,0
0,1005,0
0,1008,0
0,1011,0
0,1014,0
0,1017,0
0,1020,0
0,1023,0
0,1026,0
0,1029,0
0,1032,0
0,1035,0
0,1038,0
0,1041,0
0,1044,0
0,1047,0
0,1050,0
0,1053,0
0,1056,0
0,1059,0
0,1062,0
0,1065,0
0,1068,0
0,1071,0
0,1074,0
0,1077,0
0,1080,0
0,1083,0
0,1086,0
0,1089,0
0,1092,0
0,1095,0
0,1098,0
0,1101,0
0,1104,0
0,1107,0
0,1110,0
0,1113,0
0,1116,0
0,1119,0
0,1122,0
0,1125,0
0,1128,0
0,1131,0
0,1134,0
0,1137,0
0,1140,0
0,1143,0
0,1146,0
0,1149,0
0,1152,0
0,1155,0
0,1158,0
0,1161,0
0,1164,0
0,1167,0
0,1170,0
0,1173,0
0,1176,0
0,1179,0
0,1182,0
0,1185,0
0,1188,0
0,1191,0
0,1194,0
0,1197,0
0,1200,0
0,1203,0
0,1206,0
0,1209,0
0,1212,0
0,1215,0
0,1218,0
0,1221,0
0,1224,0
0,1227,0
0,1230,0
0,1233,0
0,1236,0
0,1239,0
0,1242,0
0,1245,0
0,1248,0
0,1251,0
0,1254,0
0,1257,0
0,1260,0
0,1263,0
0,1266,0
0,1269,0
0,1272,0
0,1275,0
0,1278,0
0,1281,0
0,1284,0
0,1287,0
0,1290,0
